--- Best LSTM Model Parameters Found (Optuna) ---
{'hidden_units': 112, 'num_layers': 2, 'learning_rate': 0.00395973481941135, 'dropout': 0.11831811698597604}
-------------------------------------------------

--- Training final LSTM model on full training data with best params... ---
Final Training Epoch 1/30, Train Loss: 0.0687, Val Loss: 0.0635
Final Training Epoch 2/30, Train Loss: 0.0624, Val Loss: 0.0576
Final Training Epoch 3/30, Train Loss: 0.0572, Val Loss: 0.0550
Final Training Epoch 4/30, Train Loss: 0.0511, Val Loss: 0.0470
Final Training Epoch 5/30, Train Loss: 0.0501, Val Loss: 0.0453
Final Training Epoch 6/30, Train Loss: 0.0450, Val Loss: 0.0400
Final Training Epoch 7/30, Train Loss: 0.0416, Val Loss: 0.0377
Final Training Epoch 8/30, Train Loss: 0.0369, Val Loss: 0.0349
Final Training Epoch 9/30, Train Loss: 0.0338, Val Loss: 0.0357
Final Training Epoch 10/30, Train Loss: 0.0308, Val Loss: 0.0276
Final Training Epoch 11/30, Train Loss: 0.0265, Val Loss: 0.0248
Final Training Epoch 12/30, Train Loss: 0.0234, Val Loss: 0.0222
Final Training Epoch 13/30, Train Loss: 0.0205, Val Loss: 0.0204
Final Training Epoch 14/30, Train Loss: 0.0200, Val Loss: 0.0196
Final Training Epoch 15/30, Train Loss: 0.0178, Val Loss: 0.0177
Final Training Epoch 16/30, Train Loss: 0.0147, Val Loss: 0.0155
Final Training Epoch 17/30, Train Loss: 0.0140, Val Loss: 0.0151
Final Training Epoch 18/30, Train Loss: 0.0123, Val Loss: 0.0136
Final Training Epoch 19/30, Train Loss: 0.0112, Val Loss: 0.0131
Final Training Epoch 20/30, Train Loss: 0.0105, Val Loss: 0.0113
Final Training Epoch 21/30, Train Loss: 0.0095, Val Loss: 0.0110
Final Training Epoch 22/30, Train Loss: 0.0090, Val Loss: 0.0107
Final Training Epoch 23/30, Train Loss: 0.0090, Val Loss: 0.0100
Final Training Epoch 24/30, Train Loss: 0.0077, Val Loss: 0.0089
Final Training Epoch 25/30, Train Loss: 0.0070, Val Loss: 0.0082
Final Training Epoch 26/30, Train Loss: 0.0064, Val Loss: 0.0072
Final Training Epoch 27/30, Train Loss: 0.0057, Val Loss: 0.0066
Final Training Epoch 28/30, Train Loss: 0.0052, Val Loss: 0.0063
Final Training Epoch 29/30, Train Loss: 0.0052, Val Loss: 0.0062
Final Training Epoch 30/30, Train Loss: 0.0044, Val Loss: 0.0053

--- Final LSTM Model Evaluation Results ---
    Mean Squared Error (MSE): 0.0054
    R-squared (R2 Score): 0.8675
